UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
64,M15063,L,301.51793844098654,309.2515134634435,1512.9221181975227,25.14439626963028,63,0
65,M15064,L,298.4543495709249,311.55115197552254,1510.9394794604893,42.67050265869259,81,0
66,M15065,L,299.52636278652,310.1156746342929,1572.5766623898692,48.89630795623437,109,0
67,M15066,L,299.0292729043418,311.17929718406384,1548.1009231736714,40.82283989275424,238,0
68,M15067,M,300.16374827877263,310.0675184814101,1522.3884024279132,50.654803750653514,94,0
69,M15068,L,304.629317133347,312.060747924882,1420.9525544554688,34.82711549899628,165,0
70,M15069,H,296.2654696148165,311.7553408424432,1547.1468357135996,54.0934744018558,31,0
71,M15070,M,301.37252038074905,309.75103585152095,1688.2024496475033,62.9889812361925,10,0
72,M15071,L,296.7745682576207,310.97157095095434,1634.5420046154977,36.37161439560341,44,0
73,M15072,L,299.05613626842114,310.6453759495852,1659.3186626639397,35.54497478599228,216,0
74,M15073,M,302.17790119393476,311.36863155753235,1448.8784323568814,54.53384477117701,32,0
75,M15074,M,300.1285600381909,309.0350765394199,1401.039517974142,55.795721457307124,101,1
76,M15075,M,297.8445104441414,310.68605145999845,1487.421307990035,34.771399728467316,168,0
77,M15076,M,298.5693925814801,311.05842448684956,1505.5724912288695,35.798131829041424,135,0
78,M15077,L,301.35919549786934,308.2412605135769,1609.4191518470948,37.18215391139493,10,0
79,M15078,L,298.5392667365657,308.81674148733424,1330.7535370285182,26.55549488965723,213,0
80,M15079,L,300.43291717916395,307.9607678222399,1652.9550319460614,30.813480535158018,178,0
81,M15080,M,300.0911436798076,309.73059316555543,1484.199210142101,29.95859233247932,87,0
82,M15081,M,298.6967993047884,310.717542255796,1457.311893005258,32.32202434895871,40,0
83,M15082,L,304.28788817865063,311.50235705209604,1398.7895624739833,39.65315112613219,144,0
84,M15083,L,301.26783804463605,310.0740947804198,1334.5143328134232,42.342147325365204,75,0
85,M15084,L,295.9497148266848,311.6286155455713,1582.3170583961914,55.50500492814077,120,0
86,M15085,L,300.37290862953887,308.6198985417851,1507.3317967188405,30.01645959261209,45,0
87,M15086,M,298.6764270704632,308.29661756064485,1371.0039100258946,49.843223984765835,159,0
88,M15087,M,301.70486666959243,309.94445230110335,1370.4921227936384,37.86011155774491,206,0
89,M15088,M,298.4149585231346,310.3840654489393,1466.4215300709873,39.50536290347567,79,0
90,M15089,L,299.7705271170662,309.9673052519059,1666.9021525289393,46.74819492166604,53,0
91,M15090,L,301.0099745579609,307.9325578999601,1474.0408648636396,28.772779784377015,85,1
92,M15091,M,301.73151038834027,309.9108799604872,1349.6857046881894,43.82409746184051,91,0
93,M15092,M,297.5994071858884,308.69553049949513,1475.4256935914057,41.66452208213056,147,0
94,M15093,L,299.3309975283181,310.66967254883,1472.727643025233,44.92451264008149,160,0
95,M15094,M,299.0501093776781,310.3665982460968,1230.3113357058428,42.89168643907818,201,0
96,M15095,L,298.69334153485255,309.06012021367263,1494.5705133482188,64.55300139910895,167,0
97,M15096,L,303.5309084805622,309.4861330826633,1476.9065469791321,33.62260015748684,159,0
98,M15097,L,300.8099634219219,308.940786478111,1569.6206364813418,34.690030449981826,96,0
99,M15098,L,297.4782320913299,309.9373209027268,1684.8956094945345,33.76859473575236,1,0
100,M15099,L,301.83572389410955,310.95514232050124,1612.6565029547758,34.44522880839745,224,0
101,M15100,L,304.24431239402526,309.01427395366443,1473.1111309445168,33.62612872693482,32,0
102,M15101,M,302.06493052110227,310.50404651551787,1389.3474091258329,51.89016531107552,232,0
103,M15102,L,296.961260068092,309.46974238162755,1757.335980324986,54.20504247989855,204,0
104,M15103,L,299.0315318542675,309.20712716773767,1505.9218434014488,34.29253706250524,157,0
105,M15104,H,302.53382229837325,309.89296964004546,1501.3929291912946,31.676444268957713,160,0
106,M15105,L,298.58466106876244,308.9647576775806,1497.5874912889997,44.71415556386404,76,0
107,M15106,L,300.8876388562925,309.44635069465284,1519.8084760767856,34.477769557190285,115,1
108,M15107,M,301.5492681068587,308.80212210741115,1485.5639588076058,46.32931817755511,153,0
109,M15108,L,298.1461390568438,311.9647251329164,1442.6337993119764,42.029230208513,149,0
110,M15109,L,299.8809492878764,310.03526355197175,1445.3141058759609,24.84255885002768,102,1
111,M15110,L,293.51746531986186,309.3002744920074,1496.7246729784001,55.47505201330061,193,0
112,M15111,L,297.9512247173314,310.2139799107342,1445.6575228866236,57.95877673095522,165,0
113,M15112,H,299.4948636972137,309.8876719503092,1428.7154217322836,33.87211309515614,102,0
114,M15113,M,297.5044336360703,309.77903040046675,1510.6430227691897,36.122984400640156,89,0
115,M15114,M,303.26482260786327,310.6141667000434,1474.5022782579144,42.85865390724905,173,0
116,M15115,M,297.1397172440787,310.7575077100473,1650.3992988582688,43.34456789987025,121,0
117,M15116,M,299.119911026606,309.46949885238945,1234.903019160699,46.5854427267283,142,0
118,M15117,L,300.2614811545722,309.4241817593553,1609.150685192246,60.102045387663495,225,0
119,M15118,M,302.88254657813224,309.72494830284836,1624.6085192497628,38.2305277250595,105,0
120,M15119,L,297.12827569764113,307.6980788352644,1292.6609767591851,32.01702755461546,118,0
121,M15120,M,302.3263275043099,308.48480893780146,1465.7312405919652,26.20680771985473,171,0
122,M15121,M,300.0204661220392,311.36687426744453,1462.8559134004208,32.69069960058081,48,0
123,M15122,L,298.0369826979041,311.6449677135013,1359.248830528218,39.66873027126203,103,0
124,M15123,L,300.92420694852655,309.75096396044364,1422.2183312409124,57.94557863517788,202,0
125,M15124,L,300.39811939114696,310.5765569630558,1388.9424154534172,34.823887009638284,60,0
126,M15125,L,298.7995662456824,310.31125015454353,1675.2270443423622,42.237879516388986,194,0
127,M15126,M,300.13960416998003,313.0788808084552,1593.5678393147462,39.83577103927248,122,0
128,M15127,M,299.2293728062765,311.1195749114346,1627.155509499416,51.88393273448084,133,0
129,M15128,L,300.2270346905025,309.87208240851925,1572.1672064043235,65.26932425873622,8,0
130,M15129,L,301.3242613490421,309.04445955939957,1387.094822878277,34.69131227079679,5,1
131,M15130,L,303.1720336322907,308.3935536797424,1447.5479733720226,35.10560557481778,72,0
132,M15131,L,297.5243690023463,310.20346363586725,1548.937456122792,50.44160877069072,102,0
133,M15132,L,304.26606674931253,309.2436492547157,1377.7872191108054,46.81891489626312,222,0
134,M15133,L,296.095824400955,308.57774629040233,1571.2998430172388,58.46707325736034,159,0
135,M15134,H,299.6964298099288,309.3534271157575,1475.9674601841864,45.839281853259635,40,0
136,M15135,L,301.1766344129692,308.9184519963856,1462.5179192450403,36.40707909212941,113,0
137,M15136,L,300.56198373547005,311.6871416350726,1571.0959968203492,45.90654830692309,203,0
138,M15137,M,298.7546009603588,310.8816397569494,1544.426331148604,51.087035805829075,7,0
139,M15138,L,299.5837554992855,309.9920273586834,1463.903383418092,48.204821811973645,71,0
140,M15139,H,299.01399813068235,311.47994413889,1615.9329803364249,45.07274031107298,177,0
141,M15140,H,298.8212704861116,310.07736830764765,1391.8936672400102,50.666746895891535,91,0
142,M15141,L,301.69920419404207,309.13871579867174,1561.5935606944263,51.692955904456724,61,0
143,M15142,L,300.7140309719301,311.52312407726964,1559.3101257968383,53.82158991037527,83,0
144,M15143,L,298.6141808094787,310.53891004368467,1469.045356068601,46.48709887589643,61,0
145,M15144,L,301.7991997508665,308.96275384567355,1532.6133022242118,38.328819196831454,110,0
146,M15145,L,300.6145990417532,309.8096613219164,1374.8886423614697,41.46713686433323,126,0
147,M15146,M,301.6257242376779,309.12438174661526,1592.40270192069,52.06508966508357,6,0
148,M15147,L,301.25925768384724,308.61720026903566,1481.5097863557012,31.83064329012764,202,0
149,M15148,L,298.34200997815583,310.92617754753167,1447.727697948096,43.686733088729014,83,0
150,M15149,L,298.87963791960607,311.9094166404701,1604.900922583689,36.06661187672639,207,0
151,M15150,H,301.49458721024655,308.60143242618085,1429.565630945724,40.28744822934817,131,0
152,M15151,L,301.2207405308669,310.56296923669055,1359.153870363644,52.78451862607299,133,0
153,M15152,L,299.9581968120717,309.3493574308782,1344.3370826476096,41.910990680199035,57,0
154,M15153,L,300.23465476661755,309.5128746162353,1560.600995134564,40.46436548156149,21,0
155,M15154,H,302.55532979157687,309.4076060757611,1371.9570647503717,26.401438590200808,153,0
156,M15155,L,298.81685722232834,309.1360092303202,1675.4794181984364,47.46253566027221,126,0
157,M15156,M,301.09419476234007,310.0485216279448,1291.8070592116278,46.45484181141075,2,0
158,M15157,M,299.5956146951322,309.16904988358897,1669.6456368290037,61.6325472330546,126,0
159,M15158,L,299.56463759354557,310.27045682577983,1521.1017467202619,36.92221765046999,40,0
160,M15159,M,302.1975537039744,309.94976189055086,1490.3286888129608,42.19150327663939,187,0
161,M15160,L,301.65083269797606,309.7610519531336,1445.508091319105,42.49383683710755,105,0
162,M15161,M,301.6270192720013,309.0924363379584,1539.913611435207,55.77453279763475,13,1
163,M15162,M,302.61095761430863,309.4232286694317,1496.2365297575152,39.047044676130476,202,0
164,M15163,L,300.0420076832655,310.75539122582575,1610.3301882016522,42.790215257703395,209,0
165,M15164,L,301.36390594258995,310.5009171876244,1511.422764866204,46.078965097165394,11,0
166,M15165,M,299.3794664868131,309.02244475520143,1515.0301761461878,41.86609123156358,86,0
167,M15166,L,300.6483327049769,310.09933230542924,1463.6387787786143,35.535663854494715,11,0
168,M15167,L,299.7397138912646,310.7513871233718,1494.3054376278933,41.94089992898308,140,0
169,M15168,L,300.19399192998543,308.3305947188786,1530.780176889206,50.73631749859772,24,0
170,M15169,L,301.19031405087384,310.5433601923799,1328.9831607343374,29.7348470058894,44,0
171,M15170,M,298.36355863353305,309.33737624105413,1365.1814577894288,41.32969674146876,121,0
172,M15171,L,304.18477455137094,310.57059866859316,1574.3264094022716,32.99879185060827,146,0
173,M15172,L,297.9879652370006,309.2367408434575,1517.0865438127942,51.950466289248425,54,0
174,M15173,L,297.57162277442455,308.19511789933546,1481.6016663647322,24.768130952162252,237,0
175,M15174,M,302.31622174700016,308.37245756211684,1501.8433933065394,34.410781527284115,99,0
176,M15175,L,301.58332538792587,310.0480849466614,1534.7581705361672,43.772118750645205,172,0
177,M15176,M,301.2482396341043,310.25972250172146,1446.0240319690638,55.65524029234341,135,0
178,M15177,L,301.25669101852856,309.0956833748956,1422.1695274597687,39.34249738927012,220,0
179,M15178,H,299.9755064543062,310.6385924587774,1519.5845255097681,34.44800473306802,118,0
180,M15179,L,298.2054912570283,308.33847993773105,1402.1627222384968,58.8115706944059,52,1
181,M15180,L,300.1516091163875,309.9339202013527,1540.8252755714473,25.51986099583756,182,0
182,M15181,L,298.6456765769758,308.78898380023753,1329.741639576216,18.011940433799182,31,0
183,M15182,H,301.9502394668355,309.3481638921978,1602.9155637325644,44.40014450053332,50,0
184,M15183,M,299.7058852369957,310.0473986713164,1547.2597482413044,34.97945775647389,43,0
185,M15184,L,298.34900560641495,309.13958663471607,1525.6029734313875,29.78767182869287,81,0
186,M15185,M,299.35722831669403,309.61544445577016,1598.2690983945513,47.08356447299353,197,0
187,M15186,M,300.82586290855124,311.0062928092144,1666.5474444462577,42.43800713771199,145,0
188,M15187,L,298.8725508943921,309.42310813047686,1601.4370065018131,34.359213692632714,210,0
189,M15188,L,298.35555920886713,310.83569211206515,1315.9125768668355,27.196956013291057,149,0
190,M15189,L,300.4873744229838,308.8702931453424,1372.0423033264299,48.724573282801444,36,0
191,M15190,L,300.48993314221747,310.5298041779153,1437.5181422304322,46.50201177958661,95,0
192,M15191,M,298.98611364925773,311.4415686206579,1502.6091050210835,39.00824136220617,55,0
193,M15192,H,299.05792338876336,307.5283554998727,1551.7659020469123,58.466369960476655,104,0
194,M15193,M,300.46409987471526,309.2031047445295,1427.4256186846535,29.299152336738473,58,0
195,M15194,L,297.10383131700536,310.57707212718054,1518.676676447708,24.74474829075261,130,0
196,M15195,L,297.18507245124687,309.796954613957,1424.4617067646677,33.080919301187556,155,1
197,M15196,M,298.5631115574951,310.3711458733713,1438.8482197008052,39.54413983644502,201,0
198,M15197,M,299.5731056965763,309.3960148132842,1359.3338903151778,42.43339449322692,34,0
199,M15198,M,300.621815131196,310.0865897874729,1407.6766753889096,37.5876394214367,188,0
200,M15199,M,302.9507124338991,309.8443227646079,1364.8315394383667,43.520553965142966,92,0
